sigma_max,delta_u,delta_max,alpha,delta,damage,traction
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,6.734693877551021e-05,0.9702790986878981,297209.01312101923
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,7.482993197278911e-05,0.9712799164476986,287200.8355230138
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,8.231292517006803e-05,0.9722575296362043,277424.70363795734
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,8.979591836734695e-05,0.9732048464485394,267951.5355146056
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,9.727891156462585e-05,0.974118011520549,258819.88479451003
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00010476190476190477,0.9749951633225359,250048.36677464115
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00011224489795918367,0.9758356957672087,241643.04232791255
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00011972789115646259,0.9766398028424794,233601.9715752058
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.0001272108843537415,0.9774081892185238,225918.10781476207
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00013469387755102042,0.9781418818437541,218581.18156245942
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00014217687074829933,0.978842104943516,211578.95056484023
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00014965986394557823,0.97951019590176,204898.04098239972
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00015714285714285716,0.9801475481126293,198524.51887370725
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00016462585034013606,0.9807555719723343,192444.28027665682
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00017210884353741497,0.9813356682739033,186643.31726096716
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.0001795918367346939,0.9818892101982422,181107.89801757844
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.0001870748299319728,0.982417531329118,175824.6867088198
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.0001945578231292517,0.9829219179252775,170780.820747225
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.0002020408163265306,0.9834036042187679,165963.95781232064
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00020952380952380954,0.9838637698710955,161362.30128904528
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00021700680272108844,0.9843035389679661,156964.61032033927
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00022448979591836734,0.984723980106918,152760.19893082028
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00023197278911564627,0.9851261072546023,148738.92745397743
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00023945578231292518,0.9855108811378418,144891.188621582
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.0002469387755102041,0.9858792109955784,141207.89004421598
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.000254421768707483,0.9862319565646293,137680.43435370747
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.0002619047619047619,0.9865699302057613,134300.69794238664
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.00026938775510204085,0.986893899101394,131061.00898605977
10000000.0,0.00036666666666666667,3.666666666666667e-06,4.5,0.0002768707482993197,0.9872045874746611,127954.12525338889
